Township Name,Sale date,Street,Type,Tenure,Storey,Bedrooms,Land area,Built-up,Price,Price PSF
"BANDAR BUKIT RAJA, Kapar, Selangor",19/01/2023,JALAN CANGGUNG 1/KU5,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 680,000",RM 486
"BANDAR BUKIT RAJA, Kapar, Selangor",18/01/2023,JALAN MAKYONG 4B/KU5,Terrace House - intermediate,Freehold,1,-,"1,300 sq. ft.",-,"RM 450,000",RM 346
"BANDAR BUKIT RAJA, Kapar, Selangor",18/01/2023,JALAN SUMAZAU 1J/KU5,Semi D,Freehold,2,-,"3,208 sq. ft.",-,"RM 1,680,000",RM 524
"TAMAN JOHOR JAYA, Johor Bahru, Johor",06/03/2023,JALAN ANGGERIK 10,Terrace House - end lot,Freehold,1,-,"1,948 sq. ft.",-,"RM 300,000",RM 154
"TAMAN JOHOR JAYA, Johor Bahru, Johor",03/03/2023,JALAN BAKAWALI 2,Terrace House - corner lot,Freehold,2,-,"2,831 sq. ft.",-,"RM 520,000",RM 184
"TAMAN JOHOR JAYA, Johor Bahru, Johor",01/03/2023,JALAN ANGGERIK 45,Terrace House - intermediate,Freehold,1,-,"1,539 sq. ft.",-,"RM 460,000",RM 299
"TAMAN JOHOR JAYA, Johor Bahru, Johor",15/02/2023,JALAN ANGGERIK 58,Terrace House - intermediate,Freehold,2,-,732 sq. ft.,-,"RM 220,000",RM 301
"TAMAN JOHOR JAYA, Johor Bahru, Johor",13/02/2023,JALAN KEEMBONG 28,Terrace House - intermediate,Freehold,1,-,"1,539 sq. ft.",-,"RM 490,000",RM 318
"TAMAN JOHOR JAYA, Johor Bahru, Johor",13/02/2023,JALAN BAKAWALI 11,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 423,000",RM 275
"TAMAN JOHOR JAYA, Johor Bahru, Johor",07/02/2023,JALAN DEDAP 45,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 450,000",RM 292
"TAMAN JOHOR JAYA, Johor Bahru, Johor",30/01/2023,JALAN TERATAI 77,Terrace House - intermediate,Freehold,2,-,756 sq. ft.,-,"RM 308,000",RM 407
"TAMAN JOHOR JAYA, Johor Bahru, Johor",30/01/2023,JALAN ROSMERAH 4/10,Semi D,Freehold,3,-,"3,197 sq. ft.",-,"RM 880,000",RM 275
"TAMAN JOHOR JAYA, Johor Bahru, Johor",30/01/2023,JALAN SEROJA 37,Terrace House - intermediate,Freehold,1,-,"1,539 sq. ft.",-,"RM 430,000",RM 279
"TAMAN MUTIARA RINI, Skudai, Johor",27/02/2023,JALAN BESTARI 91,Terrace House - intermediate,Leasehold,2,-,"1,539 sq. ft.",-,"RM 728,000",RM 473
"TAMAN MUTIARA RINI, Skudai, Johor",22/02/2023,JALAN JASA 1,Terrace House - intermediate,Leasehold,2,-,"1,076 sq. ft.",-,"RM 408,000",RM 379
